polymers_names,polymers_smiles
ar103,CC1CC2CCC3=CC=C(C=C3)C(CC(CC(C)C4=CC=C1C=C4)C5=CC=C2C=C5)CC(CC(CC(C)C6=CC=C(C[N+](C)(C)C)C=C6)C7=CC=C(C[N+](C)(C)C)C=C7)C8=CC=C(C[N+](C)(C)C)C=C8
ar204,CC1CC2(C)CC(C)(CC(C)(CC(C)(CC(C)(C)C(=O)OCC[N+](C)(C)C)C(=O)OCC[N+](C)(C)C)C(=O)OCC[N+](C)(C)C)C(=O)OCCOC(=O)C(C)(C)CC(C)(CC(C)(C)C(=O)OCCOC1=O)C(=O)OCCOC2=O
cr61,CC1CC2CCC3=CC=C(C=C3)C(CC(CCC4=CC=C1C=C4)C5=CC=C2C=C5)CC(CC(CC(C)C6=CC=C(C=C6)[S](=O)([O-])=O)C7=CC=C(C=C7)[S](=O)([O-])=O)C8=CC=C(C=C8)[S](=O)([O-])=O
nafion,O=[S](=O)([O-])C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)[S](=O)([O-])=O)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)[S](=O)([O-])=O)C(F)(F)F)C(F)(F)F
PVAS_BCE,CC(O)CC(O)CC(O)CC(CC(CC(C)O[S]([O-])(=O)=O)O[S]([O-])(=O)=O)O[S]([O-])(=O)=O
PVAS_RCE,CC(CC(O)CC(O)CC(CC(O)CC(C)O[S]([O-])(=O)=O)O[S]([O-])(=O)=O)O[S]([O-])(=O)=O
PSbNMP_BCE,CC(CC(CC(CC(CC(CC(CC(CC(CCc1cccc[n+]1C)C2=NC=CC=C2)c3cccc[n+]3C)C4=NC=CC=C4)c5cccc[n+]5C)C6=NC=CC=C6)C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=CC=C9
PSbNMP_RCE,CC(CC(CC(CC(CC(CC(CC(CC(CC(C)C1=NC=CC=C1)C2=CC=CC=N2)C3=CC=CC=C3)c4cccc[n+]4C)C5=CC=CC=C5)c6cccc[n+]6C)C7=CC=CC=C7)c8cccc[n+]8C)C9=NC=CC=C9
CEM1,CC(CC(CC(CC1(C)CC2(C)CC(C)(C)C(=O)OCCCOCCOC(=O)C(C)(C)CC(C)(CC(C)(C)C(=O)OCCOCCCOC1=O)C(=O)OCCOCCCOC2=O)C(=O)NC(C)(C)C[S]([O-])(=O)=O)C(=O)NC(C)(C)C[S]([O-])(=O)=O)C(=O)NC(C)(C)C[S]([O-])(=O)=O
CEM2,CC(CC(CC1(C)CC2(C)CC3(C)CC(C)C(=O)OCCOCCCOC(=O)C(C)(C)CC(C)(CC(C)(CC(C)(C)C(=O)OCCCOCCOC1=O)C(=O)OCCCOCCOC2=O)C(=O)OCCCOCCOC3=O)C(=O)NC(C)(C)C[S]([O-])(=O)=O)C(=O)NC(C)(C)C[S]([O-])(=O)=O
CEM3,CC(CC1(C)CC2(C)CC3(C)CC4(C)CC(C)(C)C(=O)OCCCOCCOC(=O)C(C)CC(C)(CC(C)(CC(C)(CC(C)(C)C(=O)OCCOCCCOC1=O)C(=O)OCCOCCCOC2=O)C(=O)OCCOCCCOC3=O)C(=O)OCCOCCCOC4=O)C(=O)NC(C)(C)C[S]([O-])(=O)=O
XLAPn4_9p,CC(C)(C[S]([O-])(=O)=O)NC(=O)CC1C2C3C4CC(=O)OCCOCCOCCOCCOC(=O)CC(C(C(CC(=O)OCCOCCOCCOCCOC1=O)C(=O)OCCOCCOCCOCCOC2=O)C(=O)OCCOCCOCCOCCOC3=O)C(=O)OCCOCCOCCOCCOC4=O
XLAPn4_45p,CC(C(C(C(C1C(C)C(=O)OCCOCCOCCOCCOC(=O)C(C)C(C)C(=O)OCCOCCOCCOCCOC1=O)C(=O)NC(C)(C)C[S]([O-])(=O)=O)C(=O)NC(C)(C)C[S]([O-])(=O)=O)C(=O)NC(C)(C)C[S]([O-])(=O)=O)C(=O)NC(C)(C)C[S]([O-])(=O)=O
